date,open,low,high,close,volume
2025-01-07 07:54:00,1.03898,1.03887,1.03909,1.03887,343
2025-01-07 07:55:00,1.03887,1.03869,1.03916,1.03914,578
2025-01-07 07:56:00,1.03914,1.03893,1.03932,1.03901,512
2025-01-07 07:57:00,1.03901,1.03895,1.0392,1.03912,534
2025-01-07 07:58:00,1.03912,1.03889,1.03912,1.0389,531
2025-01-07 07:59:00,1.0389,1.0388,1.03895,1.03889,411
2025-01-07 08:00:00,1.03889,1.0388,1.039,1.03893,523
2025-01-07 08:01:00,1.03893,1.03888,1.03904,1.03896,309
2025-01-07 08:02:00,1.03896,1.03892,1.03905,1.03901,191
2025-01-07 08:03:00,1.03901,1.039,1.03921,1.03919,247
2025-01-07 08:04:00,1.03919,1.03914,1.03928,1.03926,264
2025-01-07 08:05:00,1.03926,1.03915,1.03929,1.03915,176
2025-01-07 08:06:00,1.03915,1.03904,1.03923,1.0391,250
2025-01-07 08:07:00,1.0391,1.03905,1.03924,1.03923,161
2025-01-07 08:08:00,1.03923,1.03902,1.03925,1.03904,141
2025-01-07 08:09:00,1.03904,1.03904,1.03934,1.0393,222
2025-01-07 08:10:00,1.0393,1.03929,1.03955,1.03954,171
2025-01-07 08:11:00,1.03954,1.03952,1.03967,1.03965,136
2025-01-07 08:12:00,1.03965,1.03952,1.0397,1.0397,229
2025-01-07 08:13:00,1.0397,1.03957,1.03973,1.03971,275
2025-01-07 08:14:00,1.03971,1.03954,1.03971,1.03962,198
2025-01-07 08:15:00,1.03962,1.03933,1.03967,1.03935,274
2025-01-07 08:16:00,1.03935,1.03935,1.03975,1.03975,290
2025-01-07 08:17:00,1.03975,1.03964,1.03975,1.03969,240
2025-01-07 08:18:00,1.03969,1.03967,1.03991,1.03991,188
2025-01-07 08:19:00,1.03991,1.03977,1.04018,1.04018,288
2025-01-07 08:20:00,1.04018,1.0401,1.0403,1.04015,425
2025-01-07 08:21:00,1.04015,1.03998,1.04017,1.04016,319
2025-01-07 08:22:00,1.04016,1.04013,1.04032,1.04021,214
2025-01-07 08:23:00,1.04021,1.04009,1.04034,1.04031,250
2025-01-07 08:24:00,1.04031,1.04019,1.04035,1.04019,240
2025-01-07 08:25:00,1.04019,1.04011,1.04025,1.04011,203
2025-01-07 08:26:00,1.04011,1.03999,1.04014,1.04003,188
2025-01-07 08:27:00,1.04003,1.04003,1.04016,1.04016,134
2025-01-07 08:28:00,1.04016,1.04015,1.04021,1.04015,77
2025-01-07 08:29:00,1.04015,1.04008,1.04015,1.0401,74
2025-01-07 08:30:00,1.0401,1.04003,1.04022,1.04003,196
2025-01-07 08:31:00,1.04003,1.03994,1.04014,1.0401,199
2025-01-07 08:32:00,1.0401,1.03997,1.0401,1.04003,236
2025-01-07 08:33:00,1.04003,1.03984,1.04003,1.03984,184
2025-01-07 08:34:00,1.03984,1.03984,1.04005,1.03993,210
2025-01-07 08:35:00,1.03993,1.0399,1.04007,1.04004,128
2025-01-07 08:36:00,1.04004,1.04003,1.04048,1.0404,248
2025-01-07 08:37:00,1.0404,1.04021,1.04043,1.04039,218
2025-01-07 08:38:00,1.04039,1.04018,1.0404,1.04018,218
2025-01-07 08:39:00,1.04018,1.03994,1.04023,1.03997,287
2025-01-07 08:40:00,1.03997,1.03969,1.03997,1.03975,290
2025-01-07 08:41:00,1.03975,1.03974,1.03999,1.0399,215
2025-01-07 08:42:00,1.0399,1.03974,1.0399,1.03975,197
2025-01-07 08:43:00,1.03975,1.03959,1.03975,1.03963,211
2025-01-07 08:44:00,1.03963,1.0395,1.03966,1.03953,220
2025-01-07 08:45:00,1.03953,1.03944,1.03958,1.03944,159
2025-01-07 08:46:00,1.03944,1.03924,1.03952,1.03924,193
2025-01-07 08:47:00,1.03924,1.03899,1.03927,1.039,204
2025-01-07 08:48:00,1.039,1.03871,1.039,1.03871,296
2025-01-07 08:49:00,1.03871,1.03863,1.03888,1.03879,308
2025-01-07 08:50:00,1.03879,1.03879,1.0392,1.03919,195
2025-01-07 08:51:00,1.03919,1.03913,1.03934,1.03923,301
2025-01-07 08:52:00,1.03923,1.03909,1.03925,1.03914,266
2025-01-07 08:53:00,1.03914,1.0391,1.03928,1.03913,179
2025-01-07 08:54:00,1.03913,1.03913,1.03934,1.03927,240
2025-01-07 08:55:00,1.03927,1.03898,1.03928,1.03901,238
